# point,freq,zreal,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
1.000000000000000000e+01,2.501953125000000000e+04,4.062936523437500000e+03,-1.565570068359375000e+02,4.065951660156250000e+03,-2.206684827804565430e+00,1.000000000000000000e+00,1.222625343189065461e-07,4.925469756126403809e-01,8.000000000000000000e+00,6.627619862556457520e-01,4.677512869238853455e-02,1.487739868164062500e+02,6.382304709404706955e-04,1.437353994697332382e-02,1.150410298578208312e-05,1.509806671142578125e+02,9.999999747378751636e-06,1.595718227326869965e-02,4.062936523437500000e+03,-1.565570068359375000e+02,4.065951660156250000e+03,-2.206684827804565430e+00
1.100000000000000000e+01,1.986328125000000000e+04,4.082844726562500000e+03,-2.083959503173828125e+02,4.088159667968750000e+03,-2.921946763992309570e+00,1.000000000000000000e+00,1.238438471773406491e-07,4.965632557868957520e-01,8.000000000000000000e+00,7.404074668884277344e-01,4.567105323076248169e-02,1.780474243164062500e+02,7.626415463164448738e-04,1.358141773380339146e-03,1.117154442908940837e-05,-1.790306396484375000e+02,9.999999747378751636e-06,2.807323355227708817e-03,4.082844726562500000e+03,-2.083959503173828125e+02,4.088159667968750000e+03,-2.921946763992309570e+00
1.200000000000000000e+01,1.568287011718750000e+04,4.102876953125000000e+03,-2.628077697753906250e+02,4.111285644531250000e+03,-3.665045738220214844e+00,1.000000000000000000e+00,1.050246041245372908e-07,4.946294724941253662e-01,8.000000000000000000e+00,8.087072372436523438e-01,4.490536078810691833e-02,9.637844085693359375e+01,6.659268401563167572e-04,1.539836055599153042e-03,1.092246202460955828e-05,1.000434799194335938e+02,9.999999747378751636e-06,2.028921619057655334e-03,4.102876953125000000e+03,-2.628077697753906250e+02,4.111285644531250000e+03,-3.665045738220214844e+00
1.300000000000000000e+01,1.259765625000000000e+04,4.138240722656250000e+03,-3.272671813964843750e+02,4.151161132812500000e+03,-4.521748542785644531e+00,1.000000000000000000e+00,8.383163674352545058e-08,4.875148534774780273e-01,8.000000000000000000e+00,8.559616208076477051e-01,4.393722116947174072e-02,3.593270492553710938e+01,7.616248331032693386e-04,1.141159213148057461e-03,1.058432007994269952e-05,4.045445251464843750e+01,9.999999747378751636e-06,2.003430854529142380e-03,4.138240722656250000e+03,-3.272671813964843750e+02,4.151161132812500000e+03,-4.521748542785644531e+00
1.400000000000000000e+01,9.895833007812500000e+03,4.159547851562500000e+03,-3.928656616210937500e+02,4.178059570312500000e+03,-5.395530700683593750e+00,1.000000000000000000e+00,1.052006766144586436e-07,4.839778840541839600e-01,8.000000000000000000e+00,8.998478055000305176e-01,4.392273724079132080e-02,-3.511032104492187500e+00,4.509667924139648676e-04,1.313712075352668762e-02,1.051271192409330979e-05,1.884498476982116699e+00,9.999999747378751636e-06,2.509275916963815689e-03,4.159547851562500000e+03,-3.928656616210937500e+02,4.178059570312500000e+03,-5.395530700683593750e+00
1.500000000000000000e+01,7.910156250000000000e+03,4.190928710937500000e+03,-4.676616210937500000e+02,4.216940917968750000e+03,-6.367238521575927734e+00,1.000000000000000000e+00,1.052852383054414531e-07,4.822988212108612061e-01,8.000000000000000000e+00,9.281431436538696289e-01,4.349540919065475464e-02,1.474540901184082031e+01,7.565208361484110355e-04,1.476435340009629726e-03,1.031444571708561853e-05,2.111264991760253906e+01,9.999999747378751636e-06,4.357282537966966629e-03,4.190928710937500000e+03,-4.676616210937500000e+02,4.216940917968750000e+03,-6.367238521575927734e+00
1.600000000000000000e+01,6.307870605468750000e+03,4.229426757812500000e+03,-5.628294067382812500e+02,4.266711425781250000e+03,-7.580079078674316406e+00,1.000000000000000000e+00,1.094488482067390578e-07,4.729013144969940186e-01,8.000000000000000000e+00,9.487540721893310547e-01,4.361460730433464050e-02,7.468764495849609375e+01,5.503733409568667412e-04,1.809863606467843056e-03,1.022206652123713866e-05,8.226771545410156250e+01,9.999999747378751636e-06,2.566260984167456627e-03,4.229426757812500000e+03,-5.628294067382812500e+02,4.266711425781250000e+03,-7.580079078674316406e+00
1.700000000000000000e+01,4.973323242187500000e+03,4.284217773437500000e+03,-6.825377197265625000e+02,4.338246093750000000e+03,-9.051973342895507812e+00,1.000000000000000000e+00,1.348007430124198436e-07,4.685930013656616211e-01,8.000000000000000000e+00,9.323371648788452148e-01,4.263178259134292603e-02,-3.703379440307617188e+01,5.442748079076409340e-04,1.088188262656331062e-03,9.826962923398241401e-06,-2.798182106018066406e+01,9.999999747378751636e-06,8.053712081164121628e-04,4.284217773437500000e+03,-6.825377197265625000e+02,4.338246093750000000e+03,-9.051973342895507812e+00
1.800000000000000000e+01,3.944359863281250000e+03,4.339953125000000000e+03,-8.088490600585937500e+02,4.414683593750000000e+03,-1.055725002288818359e+01,1.000000000000000000e+00,1.549732928651792463e-07,4.670281410217285156e-01,8.000000000000000000e+00,9.589456319808959961e-01,4.540676623582839966e-02,6.911193847656250000e+01,5.593964597210288048e-04,6.958766607567667961e-04,1.028539554681628942e-05,7.966918945312500000e+01,9.999999747378751636e-06,7.755351252853870392e-04,4.339953125000000000e+03,-8.088490600585937500e+02,4.414683593750000000e+03,-1.055725002288818359e+01
1.900000000000000000e+01,3.144054931640625000e+03,4.403281738281250000e+03,-9.536582031250000000e+02,4.505369628906250000e+03,-1.222032260894775391e+01,1.000000000000000000e+00,1.834370948472496821e-07,4.707391262054443359e-01,8.000000000000000000e+00,9.732049703598022461e-01,4.572363942861557007e-02,1.080505905151367188e+02,6.127880769781768322e-04,1.317114755511283875e-02,1.014869849313981831e-05,1.202709197998046875e+02,9.999999747378751636e-06,9.254055912606418133e-04,4.403281738281250000e+03,-9.536582031250000000e+02,4.505369628906250000e+03,-1.222032260894775391e+01
