# point,freq,zreal,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
1.000000000000000000e+01,1.001953125000000000e+04,3.570119140625000000e+04,-2.061833740234375000e+03,3.576067968750000000e+04,-3.305304050445556641e+00,1.000000000000000000e+00,1.827828128853070666e-07,9.775069952011108398e-01,8.000000000000000000e+00,1.252935975790023804e-01,4.214792251586914062e-01,6.437977600097656250e+01,3.390448912978172302e-02,7.952070236206054688e-02,1.178610636998200789e-05,6.768508911132812500e+01,1.001878331408079248e-06,8.306823670864105225e-02,3.570119140625000000e+04,-2.061833740234375000e+03,3.576067968750000000e+04,-3.305304050445556641e+00
1.100000000000000000e+01,7.928240722656250000e+03,3.591209375000000000e+04,-2.095339111328125000e+03,3.597316796875000000e+04,-3.339213132858276367e+00,1.000000000000000000e+00,1.714386286266744719e-07,9.578130841255187988e-01,8.000000000000000000e+00,1.827769875526428223e-01,5.247728228569030762e-01,2.626503944396972656e+01,4.094091802835464478e-02,7.708734273910522461e-02,1.458789483876898885e-05,2.960425376892089844e+01,1.185223140964808408e-06,8.003672212362289429e-02,3.591209375000000000e+04,-2.095339111328125000e+03,3.597316796875000000e+04,-3.339213132858276367e+00
1.200000000000000000e+01,6.307870605468750000e+03,3.614598437500000000e+04,-2.197620117187500000e+03,3.621273046875000000e+04,-3.479212284088134766e+00,1.000000000000000000e+00,1.367344850677909562e-07,9.312599301338195801e-01,8.000000000000000000e+00,3.035592734813690186e-01,6.014274954795837402e-01,-4.020147705078125000e+01,3.466136381030082703e-02,5.693657323718070984e-02,1.660817724769003689e-05,-3.672226715087890625e+01,1.008742287922359537e-06,5.890012532472610474e-02,3.614598437500000000e+04,-2.197620117187500000e+03,3.621273046875000000e+04,-3.479212284088134766e+00
1.300000000000000000e+01,5.034722167968750000e+03,3.640849218750000000e+04,-2.375460937500000000e+03,3.648590234375000000e+04,-3.732954502105712891e+00,1.000000000000000000e+00,1.092223556042881683e-07,9.262056350708007812e-01,8.000000000000000000e+00,4.720709919929504395e-01,5.673995018005371094e-01,-9.934749603271484375e+00,3.562198020517826080e-03,6.076245568692684174e-03,1.555119706608820707e-05,-6.201794624328613281e+00,9.999999747378751636e-06,6.496919319033622742e-03,3.640849218750000000e+04,-2.375460937500000000e+03,3.648590234375000000e+04,-3.732954502105712891e+00
1.400000000000000000e+01,3.993055664062500000e+03,3.663985937500000000e+04,-2.486182861328125000e+03,3.672410937500000000e+04,-3.881831884384155273e+00,1.000000000000000000e+00,8.281263319531717570e-08,9.301174283027648926e-01,8.000000000000000000e+00,5.879293680191040039e-01,4.573715627193450928e-01,8.444627761840820312e+00,9.240327635779976845e-04,4.166368744336068630e-04,1.245425755769247189e-05,1.232645988464355469e+01,9.999999747378751636e-06,1.546237850561738014e-03,3.663985937500000000e+04,-2.486182861328125000e+03,3.672410937500000000e+04,-3.881831884384155273e+00
1.500000000000000000e+01,3.144054931640625000e+03,3.690737890625000000e+04,-2.664737548828125000e+03,3.700345312500000000e+04,-4.129628181457519531e+00,1.000000000000000000e+00,7.572759841423248872e-08,9.306735992431640625e-01,8.000000000000000000e+00,6.753258109092712402e-01,4.250406026840209961e-01,5.096453857421875000e+01,1.094392850063741207e-03,1.772686722688376904e-03,1.148651244875509292e-05,5.509416580200195312e+01,9.999999747378751636e-06,1.867634826339781284e-03,3.690737890625000000e+04,-2.664737548828125000e+03,3.700345312500000000e+04,-4.129628181457519531e+00
1.600000000000000000e+01,2.519531250000000000e+03,3.719299218750000000e+04,-2.900773681640625000e+03,3.730594140625000000e+04,-4.459612369537353516e+00,1.000000000000000000e+00,7.591029316245112568e-08,9.255875945091247559e-01,8.000000000000000000e+00,7.464500069618225098e-01,4.123493731021881104e-01,-2.447865247726440430e+00,1.234009512700140476e-03,3.125809598714113235e-03,1.105318369809538126e-05,2.011746883392333984e+00,9.999999747378751636e-06,2.280719112604856491e-03,3.719299218750000000e+04,-2.900773681640625000e+03,3.730594140625000000e+04,-4.459612369537353516e+00
1.700000000000000000e+01,2.000762207031250000e+03,3.750252343750000000e+04,-3.157522216796875000e+03,3.763521093750000000e+04,-4.812663555145263672e+00,1.000000000000000000e+00,8.786634708712881547e-08,9.293376207351684570e-01,8.000000000000000000e+00,8.097424507141113281e-01,4.082635045051574707e-01,2.697296333312988281e+01,8.170873043127357960e-04,1.559972064569592476e-03,1.084791256289463490e-05,3.178562355041503906e+01,9.999999747378751636e-06,2.735736314207315445e-03,3.750252343750000000e+04,-3.157522216796875000e+03,3.763521093750000000e+04,-4.812663555145263672e+00
1.800000000000000000e+01,1.580668579101562500e+03,3.783939453125000000e+04,-3.445997314453125000e+03,3.799598437500000000e+04,-5.203518390655517578e+00,1.000000000000000000e+00,9.018452828968293034e-08,9.375467896461486816e-01,8.000000000000000000e+00,8.627324700355529785e-01,4.048246145248413086e-01,8.846608734130859375e+01,5.300719640217721462e-04,2.473009517416357994e-03,1.065440574166132137e-05,9.366960144042968750e+01,9.999999747378751636e-06,3.057176945731043816e-03,3.783939453125000000e+04,-3.445997314453125000e+03,3.799598437500000000e+04,-5.203518390655517578e+00
1.900000000000000000e+01,1.253633666992187500e+03,3.823991796875000000e+04,-3.841013671875000000e+03,3.843233984375000000e+04,-5.735844135284423828e+00,1.000000000000000000e+00,7.786316302826890023e-08,9.356839656829833984e-01,8.000000000000000000e+00,8.996188640594482422e-01,4.007552564144134521e-01,1.319866485595703125e+02,1.421435270458459854e-03,3.754357108846306801e-03,1.042755320668220520e-05,1.377224884033203125e+02,9.999999747378751636e-06,3.538624150678515434e-03,3.823991796875000000e+04,-3.841013671875000000e+03,3.843233984375000000e+04,-5.735844135284423828e+00
2.000000000000000000e+01,1.000702270507812500e+03,3.867154687500000000e+04,-4.270663574218750000e+03,3.890664453125000000e+04,-6.301880836486816406e+00,1.000000000000000000e+00,7.575691540750995046e-08,9.351999163627624512e-01,8.000000000000000000e+00,9.281965494155883789e-01,4.014257192611694336e-01,1.713980484008789062e+01,2.287116833031177521e-03,5.401781760156154633e-03,1.031766441883519292e-05,2.344168853759765625e+01,9.999999747378751636e-06,4.922801628708839417e-03,3.867154687500000000e+04,-4.270663574218750000e+03,3.890664453125000000e+04,-6.301880836486816406e+00
2.100000000000000000e+01,7.900280761718750000e+02,3.918437109375000000e+04,-4.778667968750000000e+03,3.947468359375000000e+04,-6.953081607818603516e+00,1.000000000000000000e+00,8.053679323438700521e-08,9.349221587181091309e-01,8.000000000000000000e+00,9.496598839759826660e-01,4.038748145103454590e-01,-1.384991149902343750e+02,3.206673543900251389e-03,7.481228560209274292e-03,1.023123695631511509e-05,-1.315460357666015625e+02,9.999999747378751636e-06,4.288202151656150818e-03,3.918437109375000000e+04,-4.778667968750000000e+03,3.947468359375000000e+04,-6.953081607818603516e+00
2.200000000000000000e+01,6.288109741210937500e+02,3.974358984375000000e+04,-5.334430664062500000e+03,4.009998828125000000e+04,-7.644617557525634766e+00,1.000000000000000000e+00,8.644478555197565584e-08,9.342703819274902344e-01,8.000000000000000000e+00,9.632223844528198242e-01,4.067267179489135742e-01,8.046595764160156250e+01,4.323026631027460098e-03,1.003460492938756943e-02,1.014281406241934747e-05,8.811058044433593750e+01,9.999999747378751636e-06,4.613325931131839752e-03,3.974358984375000000e+04,-5.334430664062500000e+03,4.009998828125000000e+04,-7.644617557525634766e+00
